开始节点,开始节点类型,关系,结束节点,结束节点类型,文本
专用排风井,环境影响报告表公示本,引至,高效过滤风机组,环境影响报告表公示本,排风管最终经西北侧的专用风井引至屋面02-2高效过滤风机组+活性炭过滤器过滤后汇入排风总管排放。
甲亢治疗区,环境影响报告表公示本,设置,排风管道,环境影响报告表公示本,③三层甲亢治疗区三层甲亢治疗区设置一套排风管道，控制室、全自动分装给药机（自带初效过滤）、服药室、源库、污洗间、甲亢留观室、废物间、患者走廊、卫生通过间并联到一条排风总管，最后汇集至西北侧专用排风井，立管通至大楼屋面经 03-1 高效过滤风机组+活性炭过滤器过滤后汇入排风总管排
排风总管,环境影响报告表公示本,汇集至,专用排风井,环境影响报告表公示本,排风管最终经西北侧的专用风井引至屋面02-2高效过滤风机组+活性炭过滤器过滤后汇入排风总管排放。
专用排风井,环境影响报告表公示本,通至,高效过滤风机组,环境影响报告表公示本,排风管最终经西北侧的专用风井引至屋面02-2高效过滤风机组+活性炭过滤器过滤后汇入排风总管排放。
屋面号高效过排风治疗病房,环境影响报告表公示本,包含,核素治疗病房,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。
抢救室,环境影响报告表公示本,配备,滤风机组,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。
滤风机组,环境影响报告表公示本,组合过滤,活性炭吸附器,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。
活性炭吸附器,环境影响报告表公示本,处理效率,过滤效率可达,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。
甲亢留观室,环境影响报告表公示本,关联区域,服药室,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。
控制室,环境影响报告表公示本,管理设施,源库,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。
全自动分装仪,环境影响报告表公示本,设备配置,洁具间,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。
淋浴更衣间,环境影响报告表公示本,连接通道,患者走廊,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。
放射废气,环境影响报告表公示本,净化处理,碘吸附器,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。
三层甲亢治性废物暂存间,环境影响报告表公示本,功能分区,肾图室,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。
滤机组,环境影响报告表公示本,配备,压差监测系统,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。
压差异常,环境影响报告表公示本,监测结果,过滤器击穿堵塞,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。
失效过滤器,环境影响报告表公示本,归类处理,放射性固体废物,环境影响报告表公示本,屋面02-2号高效过排风 治疗病房3、核素治疗病房4、抢救室 滤风机组+活性炭吸附器过滤，考虑效率可达90%甲亢留观室、服药室、控制室、源库、 经收集（全自动分装仪内场所洁具间、淋浴更衣间、患者走廊、放射 废气经自带碘吸附器过排风三层甲亢治 性废物暂存间、肾图室（甲吸） 滤）后统一汇入一根主管疗区 引至屋面03-1号高效过滤分装全自动分装给药机 风机组+活性炭吸附器过排风滤，考虑效率可达90%57④过滤效率监测拟在滤机组前后段设置压差监测系统，当压差异常（无压差或压差小-过滤器击穿，压差过大-过滤器堵塞）及时更换失效的过滤器，更换周期不超过厂家推荐的使用时间。更换下来的过滤器按放射性固体废物进行收集、处理。
放射性固废,环境影响报告表公示本,分类,废物,环境影响报告表公示本,更换下来的过滤器按放射性固体废物进行收集、处理。
短半衰期废物,环境影响报告表公示本,处理周期,暂存,环境影响报告表公示本,放射性固体废物拟按类别（α废物（223Ra、225Ac）、短半衰期废物（18F、99mTc、153Sm）、长半衰期废物（89Sr））和日期暂存于废物间的铅废物桶内；其中短半衰期废物暂存 30d，长半衰期废物暂存不低于1
长半衰期废物,环境影响报告表公示本,处理周期,年暂存,环境影响报告表公示本,放射性固体废物拟按类别（α废物（223Ra、225Ac）、短半衰期废物（18F、99mTc、153Sm）、长半衰期废物（89Sr））和日期暂存于废物间的铅废物桶内；其中短半衰期废物暂存 30d，长半衰期废物暂存不低于1
铅废物桶,环境影响报告表公示本,储存容器,放射性固废,环境影响报告表公示本,放射性固体废物拟按类别（α废物（223Ra、225Ac）、短半衰期废物（18F、99mTc、153Sm）、长半衰期废物（89Sr））和日期暂存于废物间的铅废物桶内；其中短半衰期废物暂存 30d，长半衰期废物暂存不低于1
显像诊断区,环境影响报告表公示本,产生废弃物,注射器棉棒,环境影响报告表公示本,（2）放射性固废①放射性固废处理措施一层显像诊断区：该使用的放射药物，其特点是药物用量少，物理半衰期短，操作过程会产生使用的注射器、棉棒、一次性卫生用品等放射性废弃物。
观室,环境影响报告表公示本,设置,铅废物桶,环境影响报告表公示本,观室、肾图室（甲吸）均拟设铅废物桶，每日诊疗结束后由该区域工作人员收集转运至放射性废物暂存间内暂存至清洁解控后作为医疗废物处置。
肾图室,环境影响报告表公示本,设置,铅废物桶,环境影响报告表公示本,观室、肾图室（甲吸）均拟设铅废物桶，每日诊疗结束后由该区域工作人员收集转运至放射性废物暂存间内暂存至清洁解控后作为医疗废物处置。
铅废物桶,环境影响报告表公示本,转运至,放射性废物暂存间,环境影响报告表公示本,观室、肾图室（甲吸）均拟设铅废物桶，每日诊疗结束后由该区域工作人员收集转运至放射性废物暂存间内暂存至清洁解控后作为医疗废物处置。
放射性废物暂存间,环境影响报告表公示本,清洁解控后作为,医疗废物处置,环境影响报告表公示本,观室、肾图室（甲吸）均拟设铅废物桶，每日诊疗结束后由该区域工作人员收集转运至放射性废物暂存间内暂存至清洁解控后作为医疗废物处置。
核医学中心,环境影响报告表公示本,退役处理,校准源,环境影响报告表公示本,核医学中心的校准源、敷贴器退役拟根据《放射性同位素与射线装置安全和防护条例》的相关要求，退回生产单位、返回原出口方或送交放射性废物集中贮存单位贮存、处理。
核医学中心,环境影响报告表公示本,退役处理,敷贴器,环境影响报告表公示本,核医学中心的校准源、敷贴器退役拟根据《放射性同位素与射线装置安全和防护条例》的相关要求，退回生产单位、返回原出口方或送交放射性废物集中贮存单位贮存、处理。
校准源,环境影响报告表公示本,退回,生产单位,环境影响报告表公示本,核医学中心的校准源、敷贴器退役拟根据《放射性同位素与射线装置安全和防护条例》的相关要求，退回生产单位、返回原出口方或送交放射性废物集中贮存单位贮存、处理。
敷贴器,环境影响报告表公示本,返回,原出口方,环境影响报告表公示本,核医学中心的校准源、敷贴器退役拟根据《放射性同位素与射线装置安全和防护条例》的相关要求，退回生产单位、返回原出口方或送交放射性废物集中贮存单位贮存、处理。
校准源,环境影响报告表公示本,送交,放射性废物集中贮存单位,环境影响报告表公示本,核医学中心的校准源、敷贴器退役拟根据《放射性同位素与射线装置安全和防护条例》的相关要求，退回生产单位、返回原出口方或送交放射性废物集中贮存单位贮存、处理。
敷贴器,环境影响报告表公示本,送交,放射性废物集中贮存单位,环境影响报告表公示本,核医学中心的校准源、敷贴器退役拟根据《放射性同位素与射线装置安全和防护条例》的相关要求，退回生产单位、返回原出口方或送交放射性废物集中贮存单位贮存、处理。
放射性固废,环境影响报告表公示本,暂存位置,一层显像诊断区,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
长半衰期放射性固废,环境影响报告表公示本,暂存,一层放射性固废暂存间,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
短半衰期放射性固废,环境影响报告表公示本,作为,一般医疗固废处置,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
含放射性固废,环境影响报告表公示本,暂存,二层核素治疗区,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
沾污被服,环境影响报告表公示本,暂存,二层污染被服间,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
含放射性固废,环境影响报告表公示本,暂存,三层甲亢治疗区,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
放射性固废,环境影响报告表公示本,包含,注射器,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
放射性固废,环境影响报告表公示本,包含,棉棒,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
放射性固废,环境影响报告表公示本,包含,一次性卫生用品,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
放射性固废,环境影响报告表公示本,包含,沾污被服,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
放射性固废,环境影响报告表公示本,包含,废活性炭过滤器,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
一层显像诊断区,环境影响报告表公示本,分核素种类收集,放射性固废收集桶,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
放射性固废收集桶,环境影响报告表公示本,转入暂存,放射废物暂存间,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
废活性炭过滤器,环境影响报告表公示本,作为,放射性固废,环境影响报告表公示本,表10 - 9 放射性固废分类收集一览表场所 放射性固废分类方式 暂存位置 去向α放射性固废分类收集暂存在一层放一层显像诊断区 长半衰期放射性固废射固废暂存间短半衰期放射性固废作为一般医疗固废处置暂存至二层放射性固废含131I放射性固废二层核素治疗区 暂存间沾污被服 暂存至二层污染被服间58暂存至三层放射性固废三层甲亢治疗区 含131I放射性固废暂存间放射性固废收储库容分析：本项目产生的放射性固废主要是注射器、棉棒、一次性卫生用品、沾污的被服、废活性炭过滤器等。
制药建设项目,制药建设项目,进行物料平衡分析,生产装置,制药建设项目,7.1.5 平衡分析 根据工艺原理和生产特点，对制药建设项目的各生产装置进行物料平衡分析并汇总，给出投入产出 比、物料损失率。
制药建设项目,制药建设项目,进行,溶剂平衡分析,制药建设项目,7.1.5 平衡分析 根据工艺原理和生产特点，对制药建设项目的各生产装置进行物料平衡分析并汇总，给出投入产出 比、物料损失率。
溶剂回收工艺,制药建设项目,论证可行性,设备选型,制药建设项目,说明溶剂回收工艺，并从设备选型、回收工艺条件 等方面论证工艺的可行性，明确溶剂的回收率及去向。
溶剂回收工艺,制药建设项目,论证可行性,回收工艺条件,制药建设项目,说明溶剂回收工艺，并从设备选型、回收工艺条件 等方面论证工艺的可行性，明确溶剂的回收率及去向。
有毒有害物质,制药建设项目,进行,流向平衡分析,制药建设项目,有毒有害物质或其中的主要化学元素应进行流向平衡分析，分析其最终流向和存在形式。
流向平衡分析,制药建设项目,分析,最终流向,制药建设项目,有毒有害物质或其中的主要化学元素应进行流向平衡分析，分析其最终流向和存在形式。
流向平衡分析,制药建设项目,分析,存在形式,制药建设项目,有毒有害物质或其中的主要化学元素应进行流向平衡分析，分析其最终流向和存在形式。
制药建设项目,制药建设项目,进行,水平衡分析,制药建设项目,7.1.5 平衡分析 根据工艺原理和生产特点，对制药建设项目的各生产装置进行物料平衡分析并汇总，给出投入产出 比、物料损失率。
水平衡分析,制药建设项目,给出,新鲜水用量,制药建设项目,对制药建设项目及企业进行水平衡分析，给出新鲜水用量、重复水用量，以及废水产生量、处理量、 回用量和最终外排量，明确具体的回用部位，计算水重复利用率、污水回用率等，对水资源利用水平进 行分析。
水平衡分析,制药建设项目,给出,重复水用量,制药建设项目,对制药建设项目及企业进行水平衡分析，给出新鲜水用量、重复水用量，以及废水产生量、处理量、 回用量和最终外排量，明确具体的回用部位，计算水重复利用率、污水回用率等，对水资源利用水平进 行分析。
水平衡分析,制药建设项目,给出,废水产生量,制药建设项目,对制药建设项目及企业进行水平衡分析，给出新鲜水用量、重复水用量，以及废水产生量、处理量、 回用量和最终外排量，明确具体的回用部位，计算水重复利用率、污水回用率等，对水资源利用水平进 行分析。
水平衡分析,制药建设项目,给出,处理量,制药建设项目,对制药建设项目及企业进行水平衡分析，给出新鲜水用量、重复水用量，以及废水产生量、处理量、 回用量和最终外排量，明确具体的回用部位，计算水重复利用率、污水回用率等，对水资源利用水平进 行分析。
水平衡分析,制药建设项目,给出,回用量,制药建设项目,对制药建设项目及企业进行水平衡分析，给出新鲜水用量、重复水用量，以及废水产生量、处理量、 回用量和最终外排量，明确具体的回用部位，计算水重复利用率、污水回用率等，对水资源利用水平进 行分析。
水平衡分析,制药建设项目,给出,外排量,制药建设项目,对制药建设项目及企业进行水平衡分析，给出新鲜水用量、重复水用量，以及废水产生量、处理量、 回用量和最终外排量，明确具体的回用部位，计算水重复利用率、污水回用率等，对水资源利用水平进 行分析。
水平衡分析,制药建设项目,计算,水重复利用率,制药建设项目,对制药建设项目及企业进行水平衡分析，给出新鲜水用量、重复水用量，以及废水产生量、处理量、 回用量和最终外排量，明确具体的回用部位，计算水重复利用率、污水回用率等，对水资源利用水平进 行分析。
水平衡分析,制药建设项目,计算,污水回用率,制药建设项目,对制药建设项目及企业进行水平衡分析，给出新鲜水用量、重复水用量，以及废水产生量、处理量、 回用量和最终外排量，明确具体的回用部位，计算水重复利用率、污水回用率等，对水资源利用水平进 行分析。
工艺流程,制药建设项目,包含,产污节点,制药建设项目,7.1.6 工艺流程、产污环节及污染源排放分析 7.1.6.1 工艺流程及产污环节。
工艺流程图,制药建设项目,反映,主要物料流向,制药建设项目,给出带产污节点的工艺流程图，工艺流程图由工艺单元中主要生产或操作步骤组成，工艺流程图应 重点反映主要物料流向、产污节点（即污染源），并对产污节点分类编号，与工艺流程叙述保持一致。
工艺流程图,制药建设项目,反映,产污节点,制药建设项目,7.1.6 工艺流程、产污环节及污染源排放分析 7.1.6.1 工艺流程及产污环节。
产污节点,制药建设项目,对应,污染源,制药建设项目,7.1.6 工艺流程、产污环节及污染源排放分析 7.1.6.1 工艺流程及产污环节。
储运过程,制药建设项目,进行,产污环节分析,制药建设项目,同时对储运过程、公用工程设施等进行产污环节分析。
公用工程设施,制药建设项目,进行,产污环节分析,制药建设项目,同时对储运过程、公用工程设施等进行产污环节分析。
污染源排放分析,制药建设项目,分析,主要污染物,制药建设项目,根据工艺原理和流程，分析污染源排放的主要污染物，给出污染源排放特 征表，表中污染源编号与工艺流程图对应。
废气污染源排放特征表,制药建设项目,包含,污染源名称,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间
废气污染源排放特征表,制药建设项目,包含,所在装置,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间
废气污染源排放特征表,制药建设项目,包含,污染物质量浓度,制药建设项目,a）废气污染源排放特征表应包括：污染源名称、所在装置、编号、废气排放量（m3/h 或 m3/d）、 污染物名称、污染物质量浓度（mg/m3）、污染物排放速率（kg/h）、排放规律（连续或间断，间
